,OBJECTID,ISO,NAME_0,NAME_1,VARNAME_1,NL_NAME_1,HASC_1,FIPS_1,CC_1,TYPE_1,ENGTYPE_1,VALIDFR_1,VALIDTO_1,REMARKS_1,NAME_2,VARNAME_2,NL_NAME_2,HASC_2,FIPS_2,CC_2,TYPE_2,ENGTYPE_2,VALIDFR_2,VALIDTO_2,REMARKS_2,NAME_3,VARNAME_3,NL_NAME_3,HASC_3,TYPE_3,ENGTYPE_3,VALIDFR_3,VALIDTO_3,REMARKS_3,NAME_4,VARNAME_4,TYPE_4,ENGTYPE_4,VALIDFR_4,VALIDTO_4,REMARKS_4,NAME_5,TYPE_5,ENGTYPE_5,VALIDFR_5,VALIDTO_5,Shape_Leng,Shape_Area,bngy,psgc_bgy,_count,_sum,_mean,_median,_stdev,_min,_max,_range,_minority,_majority,_variety,Susceptibility,Intensity
22,74254,PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,19670617,Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Agusan Pequeno,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.06265382615000001,0.0001268006,Agusan Pequeño,160202003,2.0,426.0,213.0,213.0,0.0,213,213,0,213,213,1,None,Not Susceptible
23,74256,PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,19670617,Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Antongalon,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.13273145654000001,0.0007076020100000001,Antongalon,160202009,8.0,942.0,117.75,114.5,69.6199504452567,38,213,175,38,38,8,Low,MMI-8
24,74264,PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,19670617,Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Ambago,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.07656035406,0.00033248906,Ambago,160202004,3.0,639.0,213.0,213.0,0.0,213,213,0,213,213,1,None,Not Susceptible
25,74273,PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,19670617,Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Bading Pob. (Bgy. 22),,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.04633075293,0.00011970579,Bading Pob. (Bgy. 22),160202014,1.3883688936904197,295.72257435606,213.0,213.0,5.6843418860808e-14,213,213,0,213,213,1,None,Not Susceptible
26,74278,PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,19670617,Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Baan Km 3,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.12886885640999998,0.0007096687400000001,Baan KM 3,160202012,9.0,1917.0,213.0,213.0,0.0,213,213,0,213,213,1,None,Not Susceptible
27,74291,PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,19670617,Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Mahogany Pob. (Bgy. 21),,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.04148997492,7.390272e-05,Mahogany Pob. (Bgy. 21),160202062,0.8571368056907851,182.57013961213698,213.0,213.0,2.8421709430404e-14,213,213,0,213,213,1,None,Not Susceptible
28,74300,PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,19670617,Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Obrero Pob. (Bgy. 18),,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.030503948660000006,2.412381e-05,Obrero Pob. (Bgy. 18),160202091,0.279792217558297,59.595742339917294,213.0,213.0,2.8421709430404e-14,213,213,0,213,213,1,None,Not Susceptible
29,74306,PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,19670617,Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Port Poyohon Pob. (Bgy. 17 - New Asia),,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.034232740580000004,3.679178e-05,Port Poyohon Pob. (Bgy. 17 - New Asia),160202069,0.4267176643269221,90.89086250163429,213.0,213.0,2.8421709430404e-14,213,213,0,213,213,1,None,Not Susceptible
30,74307,PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,19670617,Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Dumalagan,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.1556837922,0.00104213985,Dumalagan,160202040,15.0,2712.0,180.8,213.0,63.252088239572494,41,213,172,41,213,5,None,Not Susceptible
31,74316,PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,19670617,Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Holy Redeemer Pob. (Bgy. 23),,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.03058496975,3.619503e-05,Holy Redeemer Pob. (Bgy. 23),160202047,0.419796446996573,89.4166432102701,213.0,213.0,0.0,213,213,0,213,213,1,None,Not Susceptible
