,OBJECTID,NAME_0,NAME_1,NAME_2,Shape_Area,bngy,psgc_bgy,bldg count,POIs,roads,lslide_suscep,lslide_intensity,ndvi_mean,ntl_mean,pop_total,settlements
17,74221,Pilipinas,Agusan del Norte,Butuan City,0.00038282934999999996,Tiniwisan,160202086,924,0,22,None,Not Susceptible,7317.411851851851,0.41339999914169295,2969.3191445019297,218.0
18,74225,Pilipinas,Agusan del Norte,Butuan City,0.0012704326199999998,Ampayon,160202007,4340,2,73,None,Not Susceptible,7231.32983377078,0.7990921037761791,11965.928912178,850.0
19,74226,Pilipinas,Agusan del Norte,Butuan City,0.00100267242,Pinamanculan,160202073,894,1,51,None,Not Susceptible,5925.2997590703,0.44925861882752394,2184.58051907945,358.0
20,74251,Pilipinas,Agusan del Norte,Butuan City,0.0007793049099999999,Bugsukan,160202092,14,0,1,Medium,MMI-9,7447.709513435,0.22997999906539898,1987.28083050022,1.42737312756343
21,74253,Pilipinas,Agusan del Norte,Butuan City,0.0002529007,Babag,160202013,3372,1,101,None,Not Susceptible,6390.403050108929,1.4065999984741202,1763.4337797023898,531.0
22,74254,Pilipinas,Agusan del Norte,Butuan City,0.0001268006,Agusan Pequeño,160202003,586,1,14,None,Not Susceptible,6170.8504273504295,1.04455553160773,5196.30850287835,90.0
23,74256,Pilipinas,Agusan del Norte,Butuan City,0.0007076020100000001,Antongalon,160202009,246,0,4,Low,MMI-8,7766.8587301587295,0.298045455393466,4052.37296195694,64.0
24,74264,Pilipinas,Agusan del Norte,Butuan City,0.00033248906,Ambago,160202004,1994,0,61,None,Not Susceptible,6164.43078403078,0.9219047569093249,11643.3625878472,354.0
25,74273,Pilipinas,Agusan del Norte,Butuan City,0.00011970579,Bading Pob. (Bgy. 22),160202014,624,10,10,None,Not Susceptible,6836.726495726501,0.857428576265063,5750.652616546179,146.0
26,74278,Pilipinas,Agusan del Norte,Butuan City,0.0007096687400000001,Baan KM 3,160202012,4532,15,195,None,Not Susceptible,6401.72301587302,1.82709301488344,11548.301651206599,1041.0
27,74291,Pilipinas,Agusan del Norte,Butuan City,7.390272e-05,Mahogany Pob. (Bgy. 21),160202062,110,0,2,None,Not Susceptible,7044.03174603175,0.46959999203681896,5459.06120415443,15.0
28,74300,Pilipinas,Agusan del Norte,Butuan City,2.412381e-05,Obrero Pob. (Bgy. 18),160202091,28,0,6,None,Not Susceptible,6719.06666666667,0.941326760646354,9512.50226652305,11.0
29,74306,Pilipinas,Agusan del Norte,Butuan City,3.679178e-05,Port Poyohon Pob. (Bgy. 17 - New Asia),160202069,60,0,3,None,Not Susceptible,6468.51851851852,0.768500000238419,6151.1902709304195,11.0
30,74307,Pilipinas,Agusan del Norte,Butuan City,0.00104213985,Dumalagan,160202040,2884,4,76,None,Not Susceptible,6932.89212513485,0.8655454507379821,2696.9535395206,726.0
31,74316,Pilipinas,Agusan del Norte,Butuan City,3.619503e-05,Holy Redeemer Pob. (Bgy. 23),160202047,466,3,8,None,Not Susceptible,5304.958333333329,3.41700005531311,7276.96810485308,86.0
32,74326,Pilipinas,Agusan del Norte,Butuan City,5.611430999999999e-05,Ong Yiu Pob. (Bgy. 16),160202071,202,0,4,None,Not Susceptible,6285.58333333333,0.975499972701073,4891.89988554633,30.0
33,74330,Pilipinas,Agusan del Norte,Butuan City,0.00019878852,Doongan,160202039,4436,13,168,None,Not Susceptible,5157.99166666667,6.028727249665691,14621.2265356424,1065.0
34,74334,Pilipinas,Agusan del Norte,Butuan City,0.00041281748999999994,Lemon,160202052,4908,15,167,None,Not Susceptible,6065.22628726287,1.9154999829255601,1802.953494935,1086.0
